block_hash,block_number,block_timestamp,transaction_hash,transaction_index,event_index,from_address,to_address,token_id,quantity,event_type
0x3cf7de18944ec32f2704fcb9fb6a1fd6e7a0843c34f46ac31e1f227509a049a9,18909006,2024-01-01 00:23:11,0x95683b1a84bc5e866c031a1ec54eb25db9da390550f4094453b2c11becea6a01,154,519,0x0000000000000000000000000000000000000000,0x61fbb052daf37a3b50616669a10c4778f08f3c6f,,7.376823e+24,ERC-20
0x1f9ffe06652efc528bbb35fdf442811db29e109d881f84eed87fd12bcd316919,18908932,2024-01-01 00:07:47,0xdeb576b8192a30e2c96613117da23d8b2e85400209e6cd331d132e739474d68f,79,170,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x4a995fd5a0a579b94c29a73b0644f57c89dd779b,,4.2e+19,ERC-20
0x62f25b5a9f55ccdc34df0ab13649dd310aeed7158bc6405779bf85900a229e22,18908896,2024-01-01 00:00:23,0xbd7d8506bd32a11e04713d902e9b2b9629a8c402cdb1456b57c1f85d741d3c04,19,88,0x8d8404f8cca4c8834ca3cab1e54887ae47724bee,0xce5be4b74b6217d14606c744ec8024562a56e406,,4.910494378496428e+18,ERC-20
0x4fe4b6f894c008e63a14f89bab8703d9e62d6fef53b5aefdaf722db924bb1106,18909128,2024-01-01 00:47:47,0x991e5e7efda7befb9a85ba505cad3572b29af138e0aa6e96012c80ece244e355,103,195,0x1ef1b6bb65cc49c3819ec9f2053000984cd7beb7,0x2e45d47b2f0d0a23500e9148882b136914cc1f65,,4.4142e+22,ERC-20
0x3cf7de18944ec32f2704fcb9fb6a1fd6e7a0843c34f46ac31e1f227509a049a9,18909006,2024-01-01 00:23:11,0x95683b1a84bc5e866c031a1ec54eb25db9da390550f4094453b2c11becea6a01,154,323,0x0000000000000000000000000000000000000000,0x61fbb052daf37a3b50616669a10c4778f08f3c6f,,7.376823e+24,ERC-20
0x5f4a5aaefaf55c4e3ccdfc1832b3bbf8bb0f5cbc8db07d57c8f4ef8d72855e48,18909129,2024-01-01 00:47:59,0x22cbe043a50b79d1c87ee5f64488cbadf49b670c96f2a2e4aab2ee6554c31566,19,107,0xdf92f59b712cc0de16cf6cedd3fc3e03e6ea6e95,0x99662a23708589ac44b23c8bbc647aa72ab0333c,7792,1.0,ERC-721
0x60d621fb689a9b228b8b235386c69180f0da5d0f2061153e1e50da481421a2f8,18909268,2024-01-01 01:16:11,0x1064396a205a711d868dcc663df396eb457a3b3534d791b31b9eef48f03d69cc,125,215,0x50e65a653b7429ff5ac76733a16739f9d24cc748,0xc64350c0eab6faed8f17cc2cdff0761c53fb4152,,2.5000000000000004e+26,ERC-20
0x17090caf969ad63d2b6e9931d783d2b5fdb50d89372f99a7d2e2116b50c1793c,18908931,2024-01-01 00:07:35,0xa9b2b71096e3aee5e2da08a7c3bd99fc0a91a2590cf5b071474adb800ecc16a3,80,240,0xd0c6e59b50c32530c627107f50acc71958c4341f,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,3521,1.0,ERC-721
0x04774987a336d62fd2ba5516d1f9393e18a831eb0fcaa9f058c2e79cdc5711b3,18909173,2024-01-01 00:56:47,0xd8f5957d3a7628b78151e4e021961fb14c0a3b7f81a038ef214d67bbf5232738,125,301,0xb1c776f8d4530cae36e540e30395755445bb4ff8,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,,6.5783949e+22,ERC-20
0x3cc15cf351652c13533b0682c5bc4f617671eaa3eb5fb66fe1f4cae914e46344,18909363,2024-01-01 01:35:23,0x44e5b72f21d19e02ec653cbe74638843efe915540cb459470d17742078f93613,105,255,0x0a4e22244cc6d18cd120299c8e4188b0d100d885,0x15c0d62acad157a5e6ef6a2edd3eb4b77e38416f,,3.702e+19,ERC-20
0x38de0ef3e412c22e194c939832a7c427d715ca2545bae0ecf68682a6474de73a,18909477,2024-01-01 01:58:35,0x7ea7a16033870982b1e5bc5991cbbd0fd0f845a7043c6f9a064abd23de36c17b,29,49,0xb2aadf6bfc0a5213acb9c279394b46f50aea65a3,0x996e1d4ce3e1e558889832832004b2466153adbe,3087,1.0,ERC-721
0x3cf7de18944ec32f2704fcb9fb6a1fd6e7a0843c34f46ac31e1f227509a049a9,18909006,2024-01-01 00:23:11,0x95683b1a84bc5e866c031a1ec54eb25db9da390550f4094453b2c11becea6a01,154,602,0x0000000000000000000000000000000000000000,0xd37327920d90986d71e9cd954b20ae626a065656,,0.0,ERC-20
0x46c6778aa0326d802b14da26928971e21b98fec895f84845be2a9e04cb931dc8,18909489,2024-01-01 02:00:59,0xded641baeef35846f9cb11a903823545917a81ee4a261fd3edc623592bd36dee,88,207,0x57a1fcc7c7f7d253414a85ef4658b5c68dc3d63b,0x996e1d4ce3e1e558889832832004b2466153adbe,4338,1.0,ERC-721
0x100dd613852b2d0640f6c916bd0471d43b86ff1889cdce782a9149aa0eba8630,18909118,2024-01-01 00:45:47,0x45331c516b01891b7af518d5fdcf0c94c979e0d1b913005ebbe0ef1a69d82b2f,78,201,0xf403c135812408bfbe8713b5a23a04b3d48aae31,0xcf50b810e57ac33b91dcf525c6ddd9881b139332,,1.0682332426767296e+20,ERC-20
0x3c8ba3acb7f1f3b90d3335da4416f2de7bfbb2df196e1273219528bc149eb9f9,18909082,2024-01-01 00:38:35,0x95f59480172d619a54fdaf7523b610f96a2cb8f7e5b05ed63e08506ff26888b0,79,164,0xf2f5d5b857a986c88c48e5ee2dd9fa5ad235c3a0,0xdf0770df86a8034b3efef0a1bb3c889b8332ff56,,15000000000.0,ERC-20
0x3cc15cf351652c13533b0682c5bc4f617671eaa3eb5fb66fe1f4cae914e46344,18909363,2024-01-01 01:35:23,0x0ec1d43376f427cfb005548c7c3e07d6590b113dbf2005d68510443e210b1eac,98,242,0x0a2395e609b5a428db3641d60fa17f0b93f0f4f3,0xd4efa01df2a38837bf344a9e3255ddb635c4fb2a,,2.11531565500358e+20,ERC-20
0x10c344255b1576c90f6709720700263f1c14e2099132a6921b178e93ceadeb14,18909265,2024-01-01 01:15:35,0x1a74c97f9387e23850b3d354d13983a6013ae967afe7e6f8c9e68dae47de9d80,140,593,0x0000000000000000000000000000000000000000,0x5615f86330e92ba74658159878b2dbf4c1188888,,4.561981e+24,ERC-20
